Financial Summary,,,
Transactions,82,,
Total income,50057.00,,
Total costs,29543.09,,
Balance,20513.91,,
,,,
,,,
CATEGORY BREAKDOWN,,,
rent,,-11392.00,
flat,,-99.90,
Electricity,,0.00,
komm/internet,,-794.00,
food,,-7583.06,
restaurant,,-902.00,
clothes,,0.00,
health,,-2819.26,
hobby,,-1985.47,
transport,,-1144.00,
travel,,0.00,
other,,0.00,
Johanna Taschengeld,,0.00,
bank costs,,-25.00,
uncategorized,,-2798.40,
,,,
Date,Description,Amount,Category
2024-06-30,LIDL 354 KISTA,-203.77,food
2024-06-28,LIDL 354 KISTA,-657.24,food
2024-06-29,AB STORSTOCKHO,-42,transport
2024-06-29,AB STORSTOCKHO,-42,transport
2024-06-27,EMALJKLINIKEN,-780,health
2024-06-27,SHOP AND GO KA,-27,Uncategorized
2024-06-26,KJELL & CO 14,-99.9,flat
2024-06-27,AB STORSTOCKHO,-42,transport
2024-06-27,AB STORSTOCKHO,-42,transport
2024-06-25,J#RVABADET,-110,hobby
2024-06-25,LIDL 354 KISTA,-439.2,food
2024-06-25,HERMANS,-585,restaurant
2024-06-25,AB STORSTOCKHO,-42,transport
2024-06-25,AB STORSTOCKHO,-42,transport
2024-06-22,LIDL 354 KISTA,-306.3,food
2024-06-20,LIDL 354 KISTA,-288.7,food
2024-06-20,APOTEK HJARTAT,-546.13,health
2024-06-23,AB STORSTOCKHO,-42,transport
2024-06-23,AB STORSTOCKHO,-42,transport
2024-06-18,BARNBDR,1250,Uncategorized
2024-06-18,Visma Amili AB,-275,Uncategorized
2024-06-18,SYNOPTIK SWEDE,-90,health
2024-06-17,Amazon Sweden,-469.86,Uncategorized
2024-06-13,ICA KVANTUM KI,-59.9,food
2024-06-13,FTC Kista Gall,-20,Uncategorized
2024-06-12,ICA KVANTUM KI,-159.8,food
2024-06-13,Comviq,-200,komm/internet
2024-06-11,LIDL 354 KISTA,-174.15,food
2024-06-11,KISTA GROSSEN,-55.8,food
2024-06-10,EMALJKLINIKEN,-887.5,health
2024-06-09,LIDL 354 KISTA,-297.4,food
2024-06-09,Subway 69061 H,-162,restaurant
2024-06-10,AB STORSTOCKHO,-42,transport
2024-06-10,AB STORSTOCKHO,-42,transport
2024-06-08,Comviq,-95,komm/internet
2024-06-06,ICA KVANTUM KI,-198.4,food
2024-06-05,ICA SUPERMARKE,-12.9,food
2024-06-05,Zettle_*Sollen,-50,Uncategorized
2024-06-05,APOTEK HJARTAT,-84.42,health
2024-06-05,LIDL 354 KISTA,-145.6,food
2024-06-04,LIDL 354 KISTA,-176.7,food
2024-06-05,AB STORSTOCKHO,-42,transport
2024-06-05,AB STORSTOCKHO,-42,transport
2024-06-05,AB STORSTOCKHO,-42,transport
2024-06-03,APOTEK HJARTAT,-31.1,health
2024-06-04,AB STORSTOCKHO,-42,transport
2024-06-04,AB STORSTOCKHO,-42,transport
2024-06-02,LIDL 354 KISTA,-384.9,food
2024-06-02,APOTEK HJARTAT,-310.11,health
2024-06-03,AB STORSTOCKHO,-42,transport
2024-06-03,AB STORSTOCKHO,-42,transport
2024-06-03,SYNOPTIK SWEDE,-90,health
2024-06-03,BASERBJUDANDE,-25,bank costs
2024-06-30,STEAMGAMES.COM 4,-173.28,hobby
2024-06-28,ASIATISK DRAGON,-135.00,Uncategorized
2024-06-28,Bahnhof,-499.00,komm/internet
2024-06-27,Swish AB STORSTOCKHOLM,-42.00,transport
2024-06-27,Swish AB STORSTOCKHOLM,-42.00,transport
2024-06-25,LÖN,44224.00,Uncategorized
2024-06-21,Swish AB STORSTOCKHOLM,-68.00,transport
2024-06-21,Swish AB STORSTOCKHOLM,-68.00,transport
2024-06-20,STEAMGAMES.COM 4,-286.82,hobby
2024-06-20,Swish skickad +46790760249,-250.00,Uncategorized
2024-06-18,LIDL 354 KISTA G,-823.97,food
2024-06-18,Swish skickad +46727892649,-200.00,Uncategorized
2024-06-15,Swish AB STORSTOCKHOLM,-42.00,transport
2024-06-16,rent 07,-11392.00,rent
2024-06-16,ICA KVANTUM KIST,-307.70,food
2024-06-15,Audible Gmbh*HV4,-114.38,hobby
2024-06-14,LIDL 354 KISTA G,-1073.19,food
2024-06-14,Swish AB STORSTOCKHOLM,-42.00,transport
2024-06-14,Swish AB STORSTOCKHOLM,-42.00,transport
2024-06-11,Swish AB STORSTOCKHOLM,-42.00,transport
2024-06-11,Swish AB STORSTOCKHOLM,-42.00,transport
2024-06-09,Disney Plus,-1190.00,hobby
2024-06-08,2889977702 Xsoll,-202.02,Uncategorized
2024-06-07,LIDL 354 KISTA G,-1153.65,food
2024-06-04,SK8011124693,4583.00,Uncategorized
2024-06-04,ALZAHRA RESTAURA,-155.00,restaurant
2024-06-04,STEAM PURCHASE,-110.99,hobby
2024-06-02,WWW.AMAZON* 304-,-1169.52,Uncategorized
2024-06-01,LIDL 354 KISTA G,-663.79,food
